,"-40.345615,175.62735","-40.345187,175.626497","-40.34574,175.628918","-40.346743,175.627408","-40.34757,175.630185","-40.344645,175.629471","-40.343711,175.626301","-40.342005,175.625978","-40.342917,175.629884","-40.343408,175.631334","-40.343798,175.632942","-40.341214,175.633719","-40.343577,175.635515","-40.335637,175.622203","-40.338741,175.622143","-40.338959,175.625384","-40.338878,175.624179","-40.340287,175.630139","-40.335141,175.627657","-40.334483,175.632104","-40.334944,175.626277","-40.337347,175.639759","-40.336773,175.637332","-40.334609,175.635269","-40.333645,175.63525","-40.343136,175.642943","-40.340187,175.642892","-40.330038,175.6346"
"-40.345615,175.62735",0,77,702,112,472,897,314,591,669,860,1070,1064,1250,1423,934,1128,877,1184,1698,1857,1784,1899,1767,2082,2406,1672,2159,2593
"-40.345187,175.626497",77,0,778,188,549,974,237,515,592,784,994,987,1233,1347,857,1051,801,1107,1622,1781,1707,1822,1690,2005,2329,1749,2236,2517
"-40.34574,175.628918",702,778,0,590,207,626,1015,1293,895,878,873,1302,980,2125,1636,1732,1579,1739,2302,2151,2388,2026,2005,2379,2747,1402,1888,2934
"-40.346743,175.627408",112,188,590,0,361,785,425,703,780,972,1032,1175,1139,1535,1046,1240,989,1296,1810,1969,1895,2010,1878,2194,2518,1561,2047,2705
"-40.34757,175.630185",472,549,207,361,0,419,786,1064,688,670,665,1094,772,1896,1406,1525,1350,1532,2095,1944,2181,1819,1797,2172,2539,1194,1681,2727
"-40.344645,175.629471",897,974,626,785,419,0,1211,1292,882,865,860,1289,967,2320,1831,1719,1774,1727,2290,2139,2375,2014,1992,2367,2734,1389,1876,2921
"-40.343711,175.626301",314,237,1015,425,786,1211,0,275,352,544,754,747,994,1279,789,804,733,860,1375,1534,1460,1582,1450,1758,2082,1731,2103,2270
"-40.342005,175.625978",591,515,1293,703,1064,1292,275,0,400,591,792,785,1031,1317,828,569,771,625,1139,1298,1225,1577,1299,1523,1847,1769,2085,2034
"-40.342917,175.629884",669,592,895,780,688,882,352,400,0,182,392,385,632,1576,1087,828,1030,823,1398,1235,1484,1220,1088,1463,1830,1369,1741,2017
"-40.343408,175.631334",860,784,878,972,670,865,544,591,182,0,573,567,803,1767,1278,1019,1221,1004,1589,1416,1674,1402,1270,1644,2012,1225,1711,2199
"-40.343798,175.632942",1070,994,873,1032,665,860,754,792,392,573,0,429,597,1958,1468,1209,1412,867,1780,1279,1865,1264,1132,1507,1874,1019,1506,2061
"-40.341214,175.633719",1064,987,1302,1176,1095,1289,747,785,385,567,429,0,380,1951,1462,984,1405,612,1554,1024,1639,835,781,1155,1523,1118,1356,1710
"-40.343577,175.635515",1250,1233,980,1139,772,967,994,1031,632,803,597,380,0,2198,1708,1249,1652,878,1819,1290,1905,1113,1059,1434,1801,738,1225,1988
"-40.335637,175.622203",1423,1347,2125,1535,1896,2320,1279,1317,1576,1767,1958,1951,2198,0,593,1560,731,1616,1337,1812,1220,2568,2291,2514,2254,2935,3076,1972
"-40.338741,175.622143",934,857,1636,1046,1406,1831,789,828,1087,1278,1468,1462,1708,593,0,1071,242,1127,1468,1800,1351,2079,1802,2025,2385,2446,2587,2103
"-40.338959,175.625384",1128,1051,1733,1240,1525,1720,804,569,828,1019,1209,984,1249,1560,1071,0,1014,585,707,1258,792,1537,1260,1483,1807,1987,2045,1740
"-40.338878,175.624179",877,801,1579,989,1350,1774,733,771,1030,1221,1412,1405,1652,731,242,1014,0,1070,1584,1744,1489,2022,1745,1968,2292,2389,2530,2241
"-40.340287,175.630139",1184,1107,1739,1296,1532,1727,860,625,823,1004,867,612,878,1616,1127,585,1070,0,1155,887,1241,1166,889,1112,1436,1616,1674,1623
"-40.335141,175.627657",1698,1622,2303,1810,2096,2290,1375,1139,1398,1589,1780,1554,1819,1346,1477,707,1584,1155,0,598,182,1575,1298,1389,1144,2477,2087,1033
"-40.334483,175.632104",1857,1781,2151,1969,1944,2139,1534,1298,1235,1416,1279,1024,1290,1812,1800,1258,1744,887,598,0,781,977,700,791,546,1879,1489,733
"-40.334944,175.626277",1784,1707,2388,1895,2181,2376,1460,1225,1484,1674,1865,1639,1905,1220,1351,792,1489,1241,182,781,0,1758,1481,1572,1327,2643,2270,1216
"-40.337347,175.639759",1899,1822,2026,2010,1819,2014,1582,1577,1220,1402,1264,835,1113,2568,2079,1537,2022,1166,1575,977,1758,0,627,709,1042,1032,546,1028
"-40.336773,175.637332",1767,1690,2005,1878,1797,1992,1450,1299,1088,1270,1132,781,1059,2291,1802,1260,1745,889,1298,700,1481,627,0,724,1092,1529,1135,1279
"-40.334609,175.635269",2082,2005,2379,2194,2172,2367,1758,1523,1463,1644,1507,1155,1434,2514,2025,1483,1968,1112,1389,791,1572,709,724,0,1019,1552,1066,1006
"-40.333645,175.63525",2406,2329,2747,2518,2539,2734,2082,1847,1830,2012,1874,1523,1801,2254,2385,1807,2292,1436,1144,546,1327,1042,1092,1019,0,1885,1398,519
"-40.343136,175.642943",1672,1749,1402,1561,1194,1389,1731,1769,1369,1225,1019,1118,738,2935,2446,1987,2389,1616,2477,1879,2643,1032,1529,1552,1885,0,487,1871
"-40.340187,175.642892",2159,2236,1888,2047,1681,1876,2103,2085,1741,1711,1506,1356,1225,3076,2587,2045,2530,1674,2087,1489,2270,546,1135,1066,1398,487,0,1385
"-40.330038,175.6346",2593,2517,2934,2705,2727,2921,2270,2034,2017,2199,2061,1710,1988,1972,2103,1740,2241,1623,1033,733,1216,1028,1279,1006,519,1871,1385,0
